Kood,Vanem,Tegevusala tekst,SIIA  KUULUB,SIIA KUULUB VEEL,SIIA EI KUULU,ERIALALIIDUD,ON ERINÕUDEID?
79121,7912,Reisikorraldajate tegevus,"Reisikorraldaja on reisiettevõtja, kes koostab pakettreise ja pakub neid müügiks või müüb ise või teise reisiettevõtja kaudu. 
− reiside korraldamine ja reisipakettide koostamine (kohalikud või rahvusvahelised; individuaalreisijatele või gruppidele) ning nende müük reisibüroode kaudu või otse reisikorraldajate poolt. Pakettreis sisaldab tavaliselt veo- ja/või majutusteenust ning muid reisiteenuseid, nt toitlustust, muuseumide, ajalooliste ja kultuurilooliste paikade külastamist, osalemist teatri-, muusika- või spordiüritustel.",,,,JAH
799,79,Muu reserveerimine ja sellega seotud tegevus,,,,,EI
7990,799,Muu reserveerimine ja sellega seotud tegevus,,,,,JAH
79901,7990,"Muu reisimisega seotud reserveerimine, sh giidide, piletiagentuuride ja turismiinfopunktide tegevus","− muu reisimisega seotud reserveerimine:
− transpordi, hotelli, restorani, rendiauto jne reserveerimine; piletite reserveerimine teatri-, spordi- jms meelelahutusüritustele
− puhkuseosakute vahetamise teenus
− konverentsikeskuste, näitusesaalide broneerimine
− reisijaid/külastajaid abistavad teenused:
− reisiinfo pakkumine (reisiinfo- ja turismiinfokeskused) ja giiditeenused
− turismi propageerimine","− turismiinfopunktide ja turismiinfokeskuste tegevus
− giid-tõlkide ja reisisaatjate teenused","reisibüroode ja reisikorraldajate tegevus, vt 79111, 79121
nõupidamiste ja konverentside organiseerimine ja korraldamine, vt 82301",,JAH
80,N,Turvatöö ja juurdlus,"Osa 80 hõlmab turvatööga seotud teenuseid, nagu juurdlustegevus ja detektiiviteenused; valvepatrullide, valve- ja turvatöötajate teenused; raha, väärtpaberite jm väärtasjade vedu, sh vajalike meetmete rakendamine veose säilimise tagamiseks; elektroonsete turvasüsteemide (valve- ja alarmsüsteemide) käitus: kohapealne või kaugseire, kusjuures sageli käitaja ka müüb, paigaldab ja hooldab vastavaid seadmeid. Nimetatud teenused eraldi (valve-, alarm- või turvaseadmete müük, paigaldus ning hooldus/remont) ei kuulu siia, vaid liigitatakse nt jaemüügi või ehituse alla.",,,Eesti Turvaettevõtete Liit,EI
801,80,"Turvatöö, v.a avalik korrakaitse",,,,,EI
8010,801,"Turvatöö, v.a avalik korrakaitse",,,,,JAH
80101,8010,"Turvatöö, v.a avalik korrakaitse","− raha, väärtpaberite jm väärtasjade vedu soomussõidukiga
− valve- ja turvateenused (nt valvepatrullide, valvekoerte, turvatöötajate, ihukaitsjate teenused; parkimis-, turva- ja läbipääsukontroll)
− polügraafiga (valedetektoriga) testimine 
− daktüloskopeerimine (sõrmejälgede võtmine)
− valvekoerte õpetamine
− olulise infoga andmekandjate (paber, laserplaadid, arvutidiskid jne) turvaline hävitamine",− valvekaamerate lindistuste kontroll ja analüüs,"avaliku korra ja turvalisuse tagamine, vt 8424",,JAH
802,80,Turvasüsteemide käitus,,,,,EI
8020,802,Turvasüsteemide käitus,,,,,JAH
80201,8020,Turvasüsteemide käitus,"Turvasüsteeme käitavad üksused võivad tegeleda ka vastavate seadmete müügiga.
− elektroonsete valve- ja alarmsüsteemide (vargusvastaste alarmseadmete, tulekahjualarmide) kohapealne või kaugseire, k.a nende paigaldus ja hooldus 
− mehaaniliste või elektroonsete lukustusseadmete, rahakappide ja varahoidlate (turvahoidlate) paigaldus, remont, ümberehitamine ja reguleerimine koos hilisema seire ja kaugseirega",,"tulekahjualarmide, häire- ja valvesignalisatsiooni paigaldus ilma hilisema seireta, vt 4321 
valve- ja alarmsüsteemide, mehaaniliste ja elektroonsete lukustusseadmete, rahakappide ja varahoidlate müük ilma seire-, paigaldus- või hooldusteenuseta, vt 47599
turvanõustamine, vt 74901
avaliku korra ja turvalisuse tagamine, vt 8424
võtmeduplikaatide tegemine, vt 96099",,JAH
803,80,Juurdlus,,,,,EI
8030,803,Juurdlus,,,,,EI
80301,8030,Juurdlus,"− uurijate ja detektiivide teenused 
− erauurijate ja eradetektiivide tegevus",,"inkassoteenus ja krediidiinfo kogumine, vt 82911",,EI
81,N,Hoonete ja maastike hooldus,"Osa 81 hõlmab kombineeritud hoonehaldusteenuse osutamist; hoonete sise- ja välispindade puhastust; tööstusliku sisseseade ja tööstusmasinate puhastust; transpordivahendite puhastust; tsisternautode ja meretankerite sisepuhastust; hoonete, laevade, rongide jne desinfitseerimist ja kahjuritõrjet; pudelipesu; tänavakoristust, lume ja jää kõrvaldamist; maastiku hooldust ja korrashoidu, kujundus- ja haljastustöid, sh jalgteede, tugiseinte, tarade, tiikide jms rajamist/paigaldamist.",,,,EI
811,81,Hoonehalduse abitegevused,,,,,EI
8110,811,Hoonehalduse abitegevused,,,,,EI
81101,8110,Hoonehalduse abitegevused,"− kliendile kuuluvas hoones kombineeritud hoonehaldusteenuse osutamine, nt järgmised teenused: 
− siseruumide üldpuhastus, hooldus, prügi kõrvaldamine, valve ja turvakaitse, posti edastamine, pesumajateenus jms hoonehalduse abitegevused",,"ainult ühe abitegevuse korraldamine (nt siseruumide üldpuhastus) või ainult ühe teenuse pakkumine (nt kütmine), vt osutatavale teenusele vastavat klassi
restoranide, hotellide, kaevanduste, haiglate jms kliendile kuuluvate ettevõtete tegevuse korraldamine ja koosseisulise personali juhtimine, vt ettevõtte tegevuse järgi 
kliendi arvutisüsteemide ja/või andmetöötlusüksuste kohapealne haldus ja käitamine, vt 62031
parandusasutuste haldus ja käitus tasu eest või lepingu alusel, vt 8423",,EI
812,81,Puhastustegevus,"Siia gruppi kuulub hoonete sise- ja välispindade puhastus ning hoonete jm eripuhastus; tööstusmasinate puhastus; tsisternautode ja meretankerite sisepuhastus, hoonete ja tööstuslike seadmete desinfitseerimine ja kahjuritõrje; pudelipesu; tänavakoristus, lume ja jää kõrvaldamine.",,"kahjurite tõrje põllumajanduses, vt 01611
hoonete ehitusjärgne puhastus, vt 43391
hoonete välisseinte puhastus auru või liivaga, vt 4399
vaipade ja vaipkatete pesu, eesriiete ja kardinate puhastus, vt 96011",,EI
8121,812,Hoonete üldpuhastus,,,,,EI
81211,8121,Hoonete üldpuhastus,"Hoonete (spetsialiseerimata) üldpuhastus hõlmab üldjuhul sisepindade puhastamise, kuid siia võib kuuluda ka sisepindadega seonduvate välispindade (nt aknad, vahekäigud/koridorid jms) puhastus.
− elamute või korterite, äri-, büroo- ning tööstushoonete (kauplused, bürood, asutused, tehased jne) hooldus- ja koristusteenused, põrandate puhastus ja vahatamine, siseseinte puhastamine, mööbli poleerimine jms 
− muude äri- ja ametiruumide, mitmeotstarbeliste hoonete ning mitmekorruseliste elamute üldpuhastus (spetsialiseerimata)",,"eripuhastustööd (akende pesemine, korstnapühkimine, kaminate, ahjude, keskkütteahjude, tuhastusahjude, boilerite, ventilatsioonikanalite, tõmbeseadmete jms puhastus), vt 81221",,EI
8122,812,Hoonete muu puhastus ja tööstuslik puhastustegevus,,,,,EI
81221,8122,Hoonete muu puhastus ja tööstuslik puhastustegevus,"− hoonete välispindade puhastus (nt kauplused, bürood, asutused, tehased jm äri-, büroo- ning tööstushooned, mitmekorruselised elamud jne) 
− eripuhastustööd (nt akende pesemine, korstnapühkimine, kaminate, ahjude, keskkütteahjude, tuhastusahjude, boilerite, ventilatsioonikanalite, tõmbeseadmete jms puhastus)
− tööstusmasinate, mahutite ja vaatide puhastus
− ruumide (nt operatsioonisaalid) või esemete steriliseerimine",− iceplasting e. jääga puhastus,"hoonete välisseinte puhastus auru või liivaga, vt 4399",,EI
8129,812,Muu puhastustegevus,,,,,JAH
81291,8129,Muu puhastustegevus,"− ujumisbasseinide puhastus ja hooldus
− rongide, busside, lennukite jne puhastus
− tsisternautode ja meretankerite sisepuhastus
− hoonete desinfitseerimine ja kahjuritõrje
− pudelipesu
− tänavakoristus, tänavate vaakumpuhastus, lume ja jää kõrvaldamine (k.a kiirteedelt ning lennuradadelt), teede liivatamine ja soolatamine
− tänavate ja avalike parkide kastmine
− välikäimlate (kemokäimlate) rent
− mujal liigitamata puhastustegevus","− ujumisbasseinidest saaste puhastamine
− kahjuritõrje hoonetes, ujumisbasseinides, transpordivahendites,  tsisternautode ja meretankerite sisepuhastuses","kahjurite tõrje põllumajanduses, vt 01611
autopesu, autode puhastus, vt 45202",,JAH
813,81,Maastiku hooldus ja korrashoid,,,,,EI
8130,813,Maastiku hooldus ja korrashoid,,,,,JAH
81301,8130,Maastiku hooldus ja korrashoid,"− taimede, puude ja põõsaste istutamine, parkide, aedade jm haljasalade hooldus ja korrashoid:
− parkide ja aedade hooldus ja korrashoid, nt eramuid ja elamurajoone, avalikke ja poolavalikke hooneid (koolid, haiglad, administratiivhooned, kirikud jne), tööstus- ja ärihooneid ümbritsevad pargid ja aiad, munitsipaalaladele (üldkasutatavad haljakud, kalmistud jne) ning teeäärsetele haljasribadele rajatud pargid ja aiad
− haljastustööd, haljasalade hooldus ja korrashoid, nt hoonete haljastus (katuseaiad, fassaadi haljastus, talveaiad jne), spordiväljakute (jalgpalli- ja golfiväljakud jne), laste mänguväljakute, päevitamiseks mõeldud muruväljakute jms puhke- ja virgestusalade hooldus ja korrashoid
− looduslike või tehisveekogude hooldus ja korrashoid (valgalad, märgalad ja tiigid, välibasseinid, kraavid, vooluveekogud, reoveesüsteemid jne) 
− taimede istutamine kaitseks müra ja tuule vastu, erosiooni piiramiseks, nähtavuse ja pimestava valguse (ereda päikesevalguse) varjamiseks
− puude lõikamine, hekkide piiramine, puude ümberistutamine","− muru niitmine
− mõisapargi arendus ja hooldus","taime- ja metsakasvatus ning taimede istutamine müügiks, vt 01, 02
puukoolide ja metsapuid kasvatavate puukoolide tegevus, vt 01301, 02101
maa hooldus hea põllumajandusliku ja keskkondliku seisundi säilitamiseks, vt 01611
maastiku kujundamise/haljastamise eesmärgil tehtavad ehitustööd, vt jagu F
maastikukujundus, maastikuarhitektuur jm arhitektitegevused, vt 71111",,JAH
82,N,"Büroohaldus, büroode ja muu äritegevuse abitegevused",Osa 82 hõlmab büroohalduse igapäevaste tööde (regulaarsed kohustused ja jooksvad ülesanded) täitmist ning mitmesuguste äritegevust toetavate tavapäraste teenuste osutamist tasu eest või lepingu alusel ning ka kõik muud mujal liigitamata tüüpilised äritegevust abistavaid tegevusi.,,"üksused, kes pakuvad terviklikke ärioperatsioone teostavat personali",,EI
821,82,Büroohaldus ja selle abitegevused,"Büroohalduse igapäevaste tööde (regulaarsed kohustused ja jooksvad ülesanded) täitmine tasu eest või lepingu alusel, nt finantsplaanimine, arvete väljakirjutamine, dokumendihaldus (dokumentide registreerimine ja säilitamine), personali- ja kaubajaotus (kaupade toimetamine tootjalt tarbijale) ning logistika. 
Siia kuulub mitmesuguste äritegevust toetavate tavapäraste teenuste osutamine tasu eest või lepingu alusel, st äritegevuse rutiinsete abifunktsioonide täitmine.
Siia kuuluvad üksused ei paku terviklikke ärioperatsioone teostavat personali. Ühele kindlale tegevusele spetsialiseerunud üksused tuleb liigitada selle tegevuse alusel.",,,,EI
8211,821,Büroohaldus,,,,,EI
82111,8211,"Büroohaldus, kombineeritud sekretäriteenus","− sekretäriteenused
− finantsplaanimine, arvete väljakirjutamine, dokumendihaldus
− personali- ja postiteenused jne tasu eest või lepingu alusel
− liikmemaksude kogumine",,"üksused, kes osutavad ainult ühte konkreetset teenust, vt tegevusele vastavat klassi 
tööjõuga varustamine ilma järelevalveta, vt 78",,EI
8219,821,"Valguskoopiad, dokumentide koostamine ja muud büroo abitegevused",,,,,EI
82191,8219,"Valguskoopiad, dokumentide koostamine ja muud büroo abitegevused","− dokumentide koostamine 
− dokumentide toimetamine/redigeerimine või korrigeerimine 
− masinkiri, tekstitöötlus või elektronkirjastamine 
− sekretäritöö abitegevused, heli- või videolintidelt ümberkirjutamine, korrektuuri lugemine
− dokumentide ärakirjade tegemine jms sekretäriteenused 
− kirjade ja kokkuvõtete kirjutamine 
− postkastide üürileandmine jm postiteenuste osutamine, nt eelsorteerimine, adresseerimine jne 
− fotokopeerimine (nn valgus- e kserokoopiate tegemine) 
− duplikaatide tegemine 
− valguskopeerimine (blueprint), mida kasutatakse pms jooniste, plaanide ja skeemide paljundamiseks 
− muud dokumentide paljundusteenused (v.a trükiteenused, nt lame-, kiir- või digitaaltrükk ning trükieelsed teenused)",,"dokumentide trükkimine (lame- või kiirtrükk jne), vt 1812 
trükieelsed teenused, vt 18131
reklaami- ja otsepostituskampaaniate korraldamine ja arendustöö, vt 73111
kohtuistungite protokollimine, stenografeerimine, stenografeerimismasinaga üleskirjutamine, vt 82991 
stenografistide (kiirkirjutajate) teenused avalikkusele, teksti/kõne kiirkirjas jäädvustamine, vt 82991",,EI
822,82,Kõnekeskuste tegevus,,,,,EI
8220,822,Kõnekeskuste tegevus,,,,,EI
82201,8220,"Kõnekeskuste tegevus, telemarketing","− sissehelistamiskeskused: tellimuste vastuvõtmine, tooteinfo andmine, kliendi abistamine (tehnilised abiliinid, klienditugi) või kliendi kaebuste edastamine kasutades järgmisi meetodeid: teenindajate/ agentide vastamine klientide kõnedele, automaatne kõnede jaotus, telefoni integreerimine arvutiga, interaktiivne häälvastus (interaktiivne automaatsekretär) jms 
− väljahelistamiskeskused: toodete ja teenuste müük või turustamine potentsiaalsetele klientidele, turu-uuringute või avaliku arvamuse uuringute, kliendiküsitluste jms läbiviimine 
− telemarketing",,"infotelefoniteenus, vt 63991",,EI
823,82,Nõupidamiste ja messide korraldamine,,,,,EI
8230,823,Nõupidamiste ja messide korraldamine,,,,,JAH
82301,8230,Nõupidamiste ja messide korraldamine,"− nõupidamiste, konverentside ja koosolekute korraldamine, edendustöö ja/või juhtimine ning teenindus
− messide, näituste ja laatade korraldamine ja teenindus:
− nõustamine korralduse osas, abistamine asukoha valikul, uuringud ja läbirääkimised
− osavõtjate registreerimine, sekretariaadi organiseerimine 
− tehniliste vahenditega varustamine 
− majutuse, toitlustamise, transpordi jms korraldamine","− teadusürituste korraldamine
− koolituskeskused (koolituste korraldamine)",,,JAH
829,82,Mujal liigitamata äritegevust abistavad tegevused,"Inkassoteenus, krediidiinfo, pakendamine jm mujal liigitamata tüüpilised äritegevust abistavad tegevused.",,,,EI
8291,829,Inkassoteenus ja krediidiinfo,,,,,EI
82911,8291,Inkassoteenus ja krediidiinfo,"− inkassoteenus e võlgade sissenõudmine 
− võlanõuete ost-müük ja nõustamine võlanõuetega seonduvates küsimustes
− info kogumine üksikisikute töökäigu ning üksik- ja juriidiliste isikute krediidiajaloo kohta, info töötlemine ja vahendamine finantsasutustele, kaubandusettevõtetele jt, kes vajavad infot ettevõtte või eraisiku finantsseisukorra, usaldatavuse ja krediidivõime kohta",,,,EI
8292,829,Pakendamine,,,,,JAH
82921,8292,Pakendamine,"− pakendamine tasu eest või lepingu alusel, masinatega või käsitsi:
− vedelike villimine, k.a joogid ja toiduained
− aerosoolpakendamine
− kottidesse pakendamine
− tahkete ainete pakendamine (mull- ja fooliumpakendid jm)
− farmaatsiatoodete turvapakendamine 
− etikettidega varustamine, märgistamine ja markeerimine 
− postisaadetiste ja kingituste pakkimine 
− müntide ja paberraha pakendamine",− turba pakendamine,"alkoholita jookide ja mineraalvee tootmine, vt 11071 
kaupade pakkimine veotaarasse/veopakendisse, vt 5229
pakkematerjalide trükkimine, vt 18129
pakendidisain, vt 74101",,JAH
8299,829,Muud mujal liigitamata äritegevust abistavad tegevused,,,,,JAH
82991,8299,Muud mujal liigitamata äritegevust abistavad tegevused,"− teksti/kõne sõnasõnaline jäädvustamine, koosolekute, (kohtu)istungite protokollimine ja stenografeerimismasinaga üleskirjutamine (stenotüpeerimine) ning stenogrammide ümberkirjutamine:
− istungite protokollimine, stenografeerimine ja stenotüpeerimine 
− stenografistide (kiirkirjutajate) teenused avalikkusele 
− konverentside ja koosolekute teleotseülekannete reaalajas tõlkimine ning kodeeritud subtiitrite lisamine (closed captioning) kuulmispuudega inimeste jaoks
− aadressi vöötkodeerimine
− vöötkoodiga märgistamine 
− repotehingud: müügi- ja tagasiostutehingud
− korjanduste korraldamine lepingu alusel või tasu eest
− parkimisautomaatidest müntide kogumine 
− sõltumatute oksjonipidajate tegevus 
− lojaalsusprogrammide haldus
− telefonipõhised abitegevused, nt telefoniäratusteenus, telefonikõnede siirdeteenus
− allahindluskupongide ja kinkekaartide väljaandmine
− kodumajapidamiste soojus-, vee-, gaasi- ja elektrimõõturite lugemine
− heli- või videolintidelt transkribeerimine (ümberkirjutamine)
− muud mujal liigitamata tüüpilised äritegevust abistavad tegevused","− emafirma toodete esitlemine
− teenuste vahendamine
− intrastati vormi täitmise teenus","dokumentidest ärakirjade tegemine, vt 82191
kinofilmidele kodeeritud või kodeerimata tiitrite või subtiitrite lisamine, vt 59121",,JAH
O,,AVALIK HALDUS JA RIIGIKAITSE; KOHUSTUSLIK SOTSIAALKINDLUSTUS,"Jagu O hõlmab riikliku iseloomuga tegevusi, mida tavaliselt teostavad avalik-õiguslikud üksused. Siia kuulub seaduste ja nendest tulenevate määruste vastuvõtmine ja juriidiline tõlgendamine, nendel aktidel põhinevate programmide (plaanide) haldamine, seadusandlikud tegevused, maksustamine, riigikaitse, avalik kord ja julgeolek, immigratsiooniteenistused, välissuhted ja valitsuse programmide (plaanide) haldamine. Jagu hõlmab ka kohustusliku sotsiaalkindlustuse.
Ainuüksi õiguslik või institutsionaalne seisund ei määra kuulumist sellesse jakku. Kui üksuse tegevus kuulub oma iseloomult mõnesse teise EMTAKi jakku, tuleb ta liigitada sinna, vaatamata üksuse avalik-õiguslikule staatusele. Näiteks koolisüsteemi haldamine (st määrused, kontroll, õppekavad) kuulub siia jakku, aga õpetamine mitte (vt jagu P); vangla- ja sõjaväehaiglad liigitatakse tervishoiu alla (jagu Q). Analoogiliselt võivad mõningaid selles jaos kirjeldatud tegevusi teostada valitsusvälised üksused.",,,"Eesti Tööandjate Keskliit
Rahvusvaheline Kaubanduskoda ICC Eesti",EI
84,O,Avalik haldus ja riigikaitse; kohustuslik sotsiaalkindlustus,,,,,EI
841,84,Avalik haldus ning majandus- ja sotsiaalpoliitika juhtimine,"Siia kuulub avalik haldus (nt täidesaatev, seadusandlik, finantshaldus jne kõigil valitsustasanditel) ning järelevalve sotsiaal- ja majanduselu valdkonnas.",,,,EI
8411,841,Üldine avalik haldus,,,,,EI
84111,8411,Täitev- ja seadusandlike organite tegevus,"− ministeeriumide tegevus
− erinevate valitsustasandite institutsioonide seadusandlik ja täidesaatev tegevus
− nõuandvate ametnike seadusandlik ja täidesaatev tegevus",,"valitsusele kuuluvate või valitsuse kasutuses olevate hoonete käitus, vt 682, 683",,EI
84112,8411,Rahandus- ja fiskaalpoliitikaga seotud tegevused,"− fiskaalpoliitika haldamine ja järelevalve:
− maksustamissüsteemi rakendamine
− kaupadelt maksude kogumine
− maksupettuste uurimine
− tolli haldamine
− eelarve koostamine ning riiklike fondide ja võlgade haldus
− rahaliste vahendite hankimine ja vastuvõtmine ning nende väljamaksmise kontrollimine",,,,EI
84113,8411,Majanduse ja sotsiaalse üldplaneerimisega ning statistikaga seotud tegevused,"− riigi kui terviku majanduse ja sotsiaalse planeerimise haldamine ja jõustamine erinevatel valitsustasanditel
− statistika tootmise haldus
− muud ametid, bürood ja programmiüksused, mis kirjeldavad, koordineerivad ning jälgivad üldiste majandus- ja sotsiaalplaanide ning -programmide rakendumist",,"ühiskonnaliikmete heaolu kasvule suunatud teadus- ja arendustegevuse strateegiate ning fondide haldamine, vt 8412
majanduse funktsioneerimise ja konkurentsivõime täiustamisele suunatud teadus- ja arendustegevuse strateegiate haldamine, vt 8413
riigikaitsega seotud teadus- ja arendustegevuse strateegiate ning fondide haldamine, vt 84221
riigiarhiivide tegevus, vt 91012",,EI
84114,8411,Valla- ja linnavalitsuste tegevus,,,,,EI
84119,8411,Mujal liigitamata riigi haldustegevus,"− avaliku teenistusega seotud haldus-, rakenduslikud ja abitegevused
− valitsusasutuste haldusalas olevate ja mitteomavalitsuslike küsimustega tegelevate üksuste teenused
− valimisi korraldavate üksuste tegevus",− omavalitsuse liit,,,EI
8412,841,"Tervishoiu-, haridus-, kultuuriasutuste ja muude sotsiaalteenuste, v.a sotsiaalkindlustust pakkuvate asutuste tegevuse korraldamine",,,,,EI
84121,8412,Hariduse haldus,"− erinevate haridusasutuste avalik haldus
− igat liiki koolide ja haridusasutuste juhtimine, inspekteerimine ja toetamine
− üldist haridussüsteemi puudutava avaliku informatsiooni levitamine ministeeriumi või vastavate riigiametite poolt",,,,EI
84122,8412,Tervishoiu ja sotsiaalelu haldus,− tervise- ja sotsiaalteenuste avalik haldus,,,,EI
84123,8412,Elamu- ja kommunaalmajanduse haldus,"− elamu- ja kommunaalmajanduse, veevarustuse, sanitaarjärelevalve ja tänavavalgustuse avalik haldus
− elamumajanduse ja elamumajanduse standardite loomise, arenduse ning järelevalve teenused
− üürinormide ja riigi poolt eluasemetoetuste normide kehtestamise haldus
− elanikkonna ja erivajadustega inimeste elamumajanduse korraldamine
− avaliku informatsiooni levitamine elamumajanduse kohta
− veevarustust käsitlevaid seadusi loovate ja haldavate büroode, ametite, asutuste jms üksuste tegevus
− prügi kogumise ja käitlemise, kanalisatsiooni ja tänavapuhastuse korraldamine",,"kanalisatsioon, jäätmekäitlus, saastekäitlus, vt 37, 38, 39",,EI
84124,8412,"Vaba aja tegevuse, kultuuri ja religiooni haldus","− kultuurikollektiive, vabakutselisi artiste ning kultuurisündmusi korraldavate organisatsioonide tegevust toetavad teenused
− rahvuslikke, piirkondlikke või kohalikke pidustusi ja religioossete institutsioonide ülalpidamist ning toimimist toetavad tegevused
− spordi, puhkemajanduse, kultuuri ja religiooni haldus",,"muuseumid jm kultuuriteenused, vt osa 91
riiklikud raamatukogud ja arhiivide teenused, vt 9101
spordirajatiste teenused, vt 93111",,EI
84125,8412,Keskkonnakaitse haldus,"− saastestandardid, informatsiooni levitamine saastatuse kohta
− keskkonnakaitsealaste programmide haldus",,,,EI
8413,841,Majandustegevuse korraldamine ja tõhustamine,,,,,JAH
84131,8413,"Põllumajanduse, metsanduse, maakasutuse, kalanduse ja jahinduse haldus","− põllumajandusmaa avalik haldus: 
− talumajapidamiste säilitamise programmid
− taimekaitse, kahjurite jm kahjulike mõjude tõrjega seotud programmid
− haritava maa kultuuristamise programmid
− maaparanduse haldus
− põllumajandusreformide ja maamüügitehingute avalik haldus
− põllumajandusturgude stabiliseerimise haldus
− veterinaarteenuste haldus
− metsanduse avalik haldus:
− raielubade väljaandmine
− metsaressursside kasutamise ratsionaliseerimine
− taasmetsastus
− kalapüügi ja jahindustegevuse avalik haldus:
− kalapüügi- ja jahilubade väljaandmine
− jahiloomade kaitsealade, kalahaudejaamade haldus",,,,EI
84132,8413,Transpordi ja side haldus,"− maantee- ja veetranspordi, raudtee- ja õhutranspordi ning side avalik haldus
− maanteede, kiirteede ja nendega seotud rajatiste planeerimise, projekteerimise, ehitamise, hooldamise ja parandamise haldus
− veetranspordirajatiste haldus
− õhutranspordirajatiste, nt lennuradade, terminalide, angaaride, õhunavigatsiooniseadmete jm õhutranspordiga seotud püsirajatiste ja seadmete haldus
− torujuhtmete jm rajatiste haldus
− kõikide transpordiliikide ja nendega seotud seadmete tööd puudutavate regulatsioonide loomine ja haldamine
− side (post, telefon, telegraaf, kaabeside, traadita side, satelliitside) avalik haldus
− kommunikatsioonisüsteemide planeerimise, projekteerimise, funktsioneerimise ja parandamisega seotud tegevused",,"liikluspolitsei maanteedel ja veeteedel, vt 8424
sõidukite litsentside väljastamine tasu eest või lepingu alusel, vt 82991",,JAH
84139,8413,Muud majandustegevust toetavad tegevused,"− kütusemajanduse ja energeetika avalik haldus, st kütuseressursside säilitamise, avastamise ja ratsionaalse kasutamise haldus; kütuse hankimise, töötlemise, jaotamise ja kasutamise järelevalve ning reguleerimine:
− tahke- ja mineraalkütus 
− nafta ja maagaas
− tuumkütus
− muu kütus, nt piiritus, puit ja puidujäätmed 
− maavarade kaevandamise, tootmise ja ehituse haldus:
− mineraalide leiukohtade avastamisega, mineraalide kasutamise, säilitamise, turustamisega jms seotud programmide haldus, k.a mineraalide uuringutega seotud regulatsioonide loomine ja järelevalve
− tootmisettevõtete loomise, laiendamise ja majandusolukorra parandamisega seotud tegevused
− ehitusstandardeid puudutavate regulatsioonide väljatöötamise ja haldamisega seotud tegevused, ehitiste kasutuslubade väljaandmine, ehitusplatsidel turvalisust tagavate regulatsioonide loomine ja järelevalve
− kaubanduse, toitlustuse ja hotellinduse haldus:
− kaubandusettevõtete, laomajanduse, hotellide ja restoranidega seotud avalik haldus
− jae- ja hulgikaubandust, tarbijakaitset, hinna reguleerimist ja normeerimist, laomajandust, hotellide ja restoranide tegevust korraldavate regulatsioonide arendamine ja järelevalve
− hotelli- ja restoranikohtade projekteerimise ja ehitamisega seotud haldustegevus
− turismi avalik haldus:
− turismiga ja turismi edendamisega seotud avalik haldus
− reklaamikampaaniate, turismiinfo levitamise jm turismi toetavate tegevuste haldus
− mitme-eesmärgiliste projektide planeerimise, projekteerimise, ehitamise, parandamise jms tegevusega seotud avalik haldus:
− integreeritud süsteemid/rajatised energia genereerimiseks, üleujutuste kontrollimiseks, niisutamiseks, navigatsiooniks 
− üldise majanduspoliitika ja regionaalpoliitika avalik haldus:
− üldise majanduspoliitika formuleerimine
− üldise majandustegevuse reguleerimine ja toetamine ekspordi ja impordi, kauba- ja väärtpaberituru osas
− üldine tulude juhtimine
− üldine kaubanduse edendamine
− monopolide ja kaubanduse ning turgude muude piirangute üldine reguleerimine
− erinevate kaubandussektorite reguleerimine, litsentseerimine ja kontroll
− patentide, kaubamärkide, autoriõiguse ja standardimisega tegelevad institutsioonid
− üldise tööjõupoliitika formuleerimine ja rakendamine, nt töötingimuste ja tööbörside tegevuse järelevalve ja reguleerimine, riigi- ja regionaalarengupoliitika töötuse vähendamiseks ja tööjõu liikuvuse stimuleerimiseks",,,,EI
842,84,Ühiskonna kui terviku teenindamine,,,,,EI
8421,842,Välissuhted,,,,,EI
84211,8421,Välissuhted,"− välisministeeriumi, diplomaatiliste üksuste ning konsulaatide tegevus ja nende haldus
− välismaal info- ja kultuuriteenuste juhtimine ja toetamine
− välismajandusabi andmine, k.a rahvusvaheliste organisatsioonide kaudu 
− sõjalise välisabi andmine
− väliskaubanduse, rahvusvaheliste rahandus- ja tehnikaalaste välissuhete juhtimine",,"rahvusvaheliste konfliktide ja katastroofide ohvrite/pagulaste eest hoolitsemine, vt 88991",,EI
8422,842,Riigikaitse,,,,,EI
84221,8422,Riigikaitse,"− riigi kaitsejõudude (maa-, mere-, õhu- ja kosmosekaitsejõud) tegevus, nende juhtimine ja järelevalve:
− armee (maavägi), mere- ja õhujõudude lahinguüksused 
− inseneri-, transpordi-, side-, luure-, varustus-, personali- jm mittelahinguüksused 
− riigikaitse reserv- ja abijõud
− sõjaline logistika (seadmete, ehitiste, varustuse jm tagamine)
− arstiabi andmine lahinguväljal
− tsiviilkaitsejõudude tegevus, haldus ja toetamine
− erakorralise olukorra plaanide väljatöötamine, tsiviilasutusi ja -isikuid hõlmavate õppuste korraldamine 
− riigikaitsega seotud teadus- ja arendustegevuse strateegiate ning vastavate fondide haldamine",,"rakendusuuringud ja eksperimentaalne arendustegevus, vt 72
sõjalise välisabi andmine, vt 8421
sõjatribunalide tegevus, vt 8423
päästevahenditega varustamine rahuaja õnnetuste puhul, vt 8424
sõjakoolide, -kolledžite ja sõjaväeakadeemiate haridustegevus, vt 854
hospidalide tegevus, vt 86101",,EI
8423,842,Õiguskaitse ja kohtud,,,,,EI
